cod_usuario,data_cadastro,faixa_etaria,cidade,estado
69,2020-07-24,Entre 16 a 21 anos,São Romão,Minas Gerais
176,2021-03-19,Entre 28 a 36 anos,Guanambi,Bahia
185,2021-03-11,Entre 16 a 21 anos,Martins,Rio Grande do Norte
191,2021-01-16,Entre 37 a 49 anos,Icatu,Maranhão
464,2020-02-19,Entre 22 a 27 anos,Paulista,Paraíba
479,2020-02-09,Entre 50 a 61 anos,Ubaporanga,Minas Gerais
796,2020-12-19,Entre 62 a 70 anos,Santa Rita de Minas,Minas Gerais
1691,2021-07-10,Entre 10 a 15 anos,Guaíra,São Paulo
1752,2019-03-01,Entre 28 a 36 anos,Darcinópolis,Tocantins
1756,2020-11-26,Entre 62 a 70 anos,Ferraz de Vasconcelos,São Paulo
2441,2019-04-16,Entre 16 a 21 anos,Cajueiro da Praia,Piauí
2492,2020-10-29,Entre 16 a 21 anos,Figueirão,Mato Grosso do Sul
2811,2020-07-28,Entre 50 a 61 anos,Montes Altos,Maranhão
2856,2019-12-25,Entre 16 a 21 anos,Ibipeba,Bahia
2981,2021-06-26,Entre 22 a 27 anos,Jaguarari,Bahia
3403,2020-09-18,Mais de 70 anos,Lagoa de Velhos,Rio Grande do Norte
5098,2021-05-03,Entre 62 a 70 anos,Guaraci,Paraná
5229,2019-11-22,Entre 10 a 15 anos,Cerqueira César,São Paulo
5482,2020-09-22,Entre 62 a 70 anos,Bebedouro,São Paulo
5504,2019-09-01,Entre 16 a 21 anos,Cariri do Tocantins,Tocantins
5614,2020-11-02,Entre 50 a 61 anos,Itaguaçu da Bahia,Bahia
5923,2019-09-12,Entre 16 a 21 anos,Coremas,Paraíba
6985,2019-09-12,Entre 62 a 70 anos,Brejetuba,Espírito Santo
7901,2019-09-28,Entre 16 a 21 anos,Itaguaí,Rio de Janeiro
9980,2021-02-09,Entre 62 a 70 anos,Sátiro Dias,Bahia
10080,2020-09-21,Entre 10 a 15 anos,Rio Sono,Tocantins
10152,2019-10-29,Entre 62 a 70 anos,General Carneiro,Mato Grosso
10170,2020-09-18,Entre 16 a 21 anos,Juazeiro,Bahia
10929,2021-04-10,Entre 37 a 49 anos,Brejo dos Santos,Paraíba
11002,2019-11-27,Entre 16 a 21 anos,Santo Antônio das Missões,Rio Grande do Sul
11546,2021-07-04,Entre 10 a 15 anos,Abreulândia,Tocantins
12298,2020-04-13,Entre 28 a 36 anos,Nazário,Goiás
12354,2019-07-02,Entre 50 a 61 anos,Saudades,Santa Catarina
13117,2019-11-13,Mais de 70 anos,Jari,Rio Grande do Sul
13476,2021-06-28,Entre 28 a 36 anos,Campina Verde,Minas Gerais
14486,2020-08-12,Entre 22 a 27 anos,Coxixola,Paraíba
15198,2020-04-03,Mais de 70 anos,Urubici,Santa Catarina
15313,2019-11-18,Entre 50 a 61 anos,Tabaí,Rio Grande do Sul
15784,2019-09-16,Entre 37 a 49 anos,São Vicente do Seridó,Paraíba
16570,2020-09-03,Entre 22 a 27 anos,Cachoeirinha,Pernambuco
17530,2019-09-26,Entre 28 a 36 anos,Mato Queimado,Rio Grande do Sul
17779,2021-05-22,Entre 28 a 36 anos,Matinhas,Paraíba
18028,2020-09-29,Mais de 70 anos,Lacerdópolis,Santa Catarina
18034,2019-05-04,Entre 22 a 27 anos,São Luís,Maranhão
18166,2019-12-27,Entre 62 a 70 anos,Rancho Alegre,Paraná
18366,2019-09-08,Entre 28 a 36 anos,Cachoeira Paulista,São Paulo
19078,2021-05-03,Entre 37 a 49 anos,Angelândia,Minas Gerais
19231,2019-08-21,Entre 16 a 21 anos,Salto da Divisa,Minas Gerais
19445,2020-03-07,Entre 22 a 27 anos,Congonhal,Minas Gerais
19590,2021-06-26,Entre 16 a 21 anos,Eldorado,São Paulo
19798,2019-04-05,Entre 22 a 27 anos,Cordisburgo,Minas Gerais
19984,2019-01-14,Mais de 70 anos,Duque de Caxias,Rio de Janeiro
20067,2021-07-23,Entre 37 a 49 anos,Dom Expedito Lopes,Piauí
20207,2020-04-08,Entre 22 a 27 anos,Conceição do Almeida,Bahia
20425,2020-02-01,Entre 62 a 70 anos,Sarzedo,Minas Gerais
21347,2019-05-30,Entre 50 a 61 anos,Jangada,Mato Grosso
21440,2021-05-13,Entre 28 a 36 anos,Ibititá,Bahia
21481,2020-06-12,Entre 28 a 36 anos,Bariri,São Paulo
22113,2019-01-28,Entre 16 a 21 anos,São Jorge do Ivaí,Paraná
22188,2019-03-15,Entre 10 a 15 anos,Frei Inocêncio,Minas Gerais
22290,2020-12-21,Mais de 70 anos,Brasília de Minas,Minas Gerais
22321,2020-07-19,Entre 28 a 36 anos,Júlio Borges,Piauí
22470,2020-10-16,Entre 22 a 27 anos,Tijucas do Sul,Paraná
22692,2021-04-10,Entre 10 a 15 anos,Eusébio,Ceará
23077,2021-06-28,Entre 28 a 36 anos,Chapadão do Lageado,Santa Catarina
23127,2020-06-12,Entre 10 a 15 anos,Pentecoste,Ceará
23618,2019-05-12,Entre 28 a 36 anos,Itanhaém,São Paulo
23732,2021-06-18,Entre 37 a 49 anos,Echaporã,São Paulo
23858,2019-06-21,Entre 22 a 27 anos,Bonito de Minas,Minas Gerais
24216,2020-09-04,Entre 62 a 70 anos,Timbaúba dos Batistas,Rio Grande do Norte
24470,2020-05-03,Entre 16 a 21 anos,Ipixuna,Amazonas
24951,2019-06-20,Entre 62 a 70 anos,Joanésia,Minas Gerais
25517,2020-07-30,Entre 28 a 36 anos,Girau do Ponciano,Alagoas
25638,2020-03-11,Entre 10 a 15 anos,Coqueiral,Minas Gerais
25923,2020-04-13,Entre 22 a 27 anos,Óbidos,Pará
26156,2020-02-27,Entre 28 a 36 anos,Eugenópolis,Minas Gerais
26514,2021-06-15,Entre 22 a 27 anos,Assis,São Paulo
27003,2020-04-24,Entre 50 a 61 anos,Balneário Rincão,Santa Catarina
27222,2020-12-26,Entre 22 a 27 anos,São Pedro da União,Minas Gerais
27417,2019-10-06,Entre 16 a 21 anos,Cipotânea,Minas Gerais
27642,2019-08-08,Entre 37 a 49 anos,Itutinga,Minas Gerais
27859,2021-02-22,Entre 16 a 21 anos,Iracema do Oeste,Paraná
27870,2019-03-27,Entre 22 a 27 anos,Fundão,Espírito Santo
28538,2019-12-25,Entre 10 a 15 anos,Paiva,Minas Gerais
28877,2019-03-21,Entre 50 a 61 anos,Braganey,Paraná
29003,2019-11-29,Entre 28 a 36 anos,Capitão Enéas,Minas Gerais
29581,2020-09-26,Mais de 70 anos,Espírito Santo do Dourado,Minas Gerais
29611,2020-07-26,Entre 62 a 70 anos,Ivaí,Paraná
30117,2020-03-06,Entre 28 a 36 anos,Canoas,Rio Grande do Sul
30362,2020-06-10,Entre 10 a 15 anos,Sapé,Paraíba
30697,2020-07-25,Mais de 70 anos,Passo do Sobrado,Rio Grande do Sul
31115,2021-06-05,Entre 37 a 49 anos,Potiretama,Ceará
