cod_usuario,cod_produto,data_compra,quantidade,valor
927,10,2020-10-19,4,2799.6
1544,10,2021-03-28,2,1399.8
2833,2,2020-09-13,20,26915.6
2253,14,2021-06-21,1,138.99
1724,10,2021-07-10,6,4199.4
1534,5,2019-10-17,19,8303
1977,14,2020-05-08,2,277.98
1916,3,2020-12-01,14,28693
2446,1,2021-06-02,17,78045.3
2041,4,2021-07-25,19,1119.1
1731,11,2021-05-27,5,249.5
3076,12,2021-04-29,11,852.5
1514,4,2020-01-28,19,1119.1
656,4,2021-05-13,9,530.1
954,16,2020-01-26,4,20
2283,6,2021-04-30,14,12598.6
2173,18,2021-01-28,6,47.4
992,7,2020-04-17,13,16906.37
1954,20,2021-06-20,19,2468.1
1833,13,2020-12-05,10,99
538,8,2021-06-20,14,3073.98
2455,7,2020-05-31,12,15605.88
948,20,2020-07-03,15,1948.5
1034,3,2021-05-30,16,32792
1108,20,2020-08-24,15,1948.5
1492,20,2021-05-08,15,1948.5
2550,17,2021-01-16,6,3504.6
2312,6,2021-07-12,5,4499.5
1174,20,2021-02-28,16,2078.4
174,19,2021-04-04,2,4999.8
588,4,2019-12-13,3,176.7
3375,19,2021-07-01,3,7499.7
364,19,2020-09-01,6,14999.4
2700,6,2020-05-23,15,13498.5
490,15,2021-05-26,18,89.82
628,20,2021-02-27,4,519.6
2174,3,2020-07-20,7,14346.5
1823,8,2021-05-12,14,3073.98
2574,3,2021-05-07,2,4099
1242,2,2020-04-09,8,10766.24
1919,14,2021-07-08,10,1389.9
698,21,2019-02-24,1,5999.1
1898,19,2019-11-19,5,12499.5
3272,1,2021-04-06,15,68863.5
2909,19,2019-05-19,14,34998.6
988,5,2020-03-10,13,5681
1791,7,2021-07-18,12,15605.88
3295,18,2019-10-04,18,142.2
1426,21,2021-01-29,16,95985.6
3327,5,2021-05-21,14,6118
3367,11,2019-04-08,3,149.7
644,17,2021-06-26,18,10513.8
206,16,2021-07-15,8,40
178,20,2021-07-14,4,519.6
147,7,2021-06-14,18,23408.82
1023,18,2020-01-27,19,150.1
3214,11,2020-12-11,16,798.4
821,17,2020-10-11,3,1752.3
2127,17,2021-07-14,19,11097.9
3249,18,2021-01-14,14,110.6
900,18,2021-02-03,2,15.8
544,12,2021-04-11,18,1395
3046,10,2021-03-28,3,2099.7
955,21,2020-05-12,17,101984.7
2008,15,2020-09-02,9,44.91
3373,11,2021-06-17,9,449.1
2602,17,2021-06-13,18,10513.8
909,4,2021-07-25,6,353.4
562,13,2019-01-30,2,19.8
675,6,2021-01-10,9,8099.1
1182,7,2020-11-23,6,7802.94
1118,20,2021-07-11,7,909.3
2258,19,2020-02-19,20,49998
971,13,2020-10-18,8,79.2
1104,12,2021-05-18,7,542.5
3288,21,2020-08-11,5,29995.5
3178,4,2021-04-08,13,765.7
1900,16,2021-07-10,2,10
24,5,2021-04-28,2,874
2174,13,2020-06-20,2,19.8
2354,20,2021-01-21,20,2598
2514,11,2021-07-18,11,548.9
504,12,2021-07-26,15,1162.5
902,20,2021-07-17,8,1039.2
363,21,2020-04-22,3,17997.3
2808,10,2020-08-28,12,8398.8
2487,15,2020-07-04,16,79.84
1182,18,2021-01-28,5,39.5
392,16,2020-11-13,4,20
690,18,2019-12-29,7,55.3
1410,13,2020-02-11,15,148.5
2930,13,2021-07-01,13,128.7
2441,18,2021-06-09,11,86.9
2631,21,2021-07-28,14,83987.4
2295,4,2021-04-28,13,765.7
1039,2,2020-04-03,17,22878.26
609,21,2020-08-19,19,113982.9
634,8,2021-02-18,20,4391.4
559,13,2020-12-15,1,9.9
2183,17,2019-10-28,7,4088.7
1623,10,2020-09-30,9,6299.1
1530,1,2019-06-24,13,59681.7
2822,2,2021-05-03,4,5383.12
1912,19,2021-07-27,13,32498.7
314,1,2020-08-27,4,18363.6
2337,8,2020-04-30,19,4171.83
523,4,2021-03-22,1,58.9
2968,17,2020-03-13,13,7593.3
321,20,2021-02-25,13,1688.7
2338,2,2019-11-22,5,6728.9
3039,21,2021-07-03,13,77988.3
3177,21,2021-06-09,20,119982
862,16,2020-10-11,17,85
3389,4,2021-05-02,8,471.2
345,2,2021-04-05,18,24224.04
2096,3,2019-11-02,2,4099
674,2,2021-07-23,2,2691.56
1765,6,2019-09-18,6,5399.4
2278,16,2021-06-10,7,35
1004,13,2020-05-21,20,198
1567,7,2020-07-13,18,23408.82
646,6,2021-03-12,4,3599.6
975,14,2021-04-29,18,2501.82
520,18,2021-02-23,1,7.9
942,7,2020-10-19,7,9103.43
1396,11,2019-09-22,18,898.2
2782,8,2020-05-20,15,3293.55
2106,7,2019-09-03,3,3901.47
3137,2,2019-07-26,5,6728.9
1825,18,2021-04-22,19,150.1
703,6,2021-01-23,3,2699.7
2819,8,2020-05-29,3,658.71
3057,10,2021-05-18,2,1399.8
3023,10,2020-11-10,10,6999
3131,19,2021-06-30,14,34998.6
1328,13,2020-10-12,15,148.5
1065,13,2021-03-19,8,79.2
1497,6,2021-01-02,2,1799.8
554,18,2020-09-05,17,134.3
1321,14,2021-01-17,9,1250.91
726,1,2021-06-20,9,41318.1
619,2,2020-08-04,10,13457.8
1128,1,2020-10-05,5,22954.5
3359,12,2019-05-02,5,387.5
3068,6,2020-12-30,5,4499.5
942,8,2021-01-26,18,3952.26
1673,8,2021-05-30,5,1097.85
1063,14,2021-02-19,19,2640.81
3112,19,2021-06-09,12,29998.8
446,12,2020-10-30,11,852.5
28,8,2021-03-17,10,2195.7
809,13,2021-03-25,12,118.8
1695,21,2020-09-05,6,35994.6
977,5,2020-04-10,2,874
3389,16,2020-12-29,15,75
504,17,2021-03-14,14,8177.4
872,21,2020-03-24,15,89986.5
2869,11,2021-06-20,6,299.4
1194,15,2021-06-03,9,44.91
762,19,2020-11-02,16,39998.4
1543,14,2019-04-08,6,833.94
906,15,2021-06-28,12,59.88
1794,18,2021-06-02,16,126.4
2061,3,2019-06-06,3,6148.5
881,5,2021-07-12,1,437
2218,3,2018-11-06,16,32792
2143,5,2021-07-04,1,437
631,18,2021-02-06,17,134.3
2408,5,2021-06-12,1,437
1175,12,2020-09-09,20,1550
2864,1,2021-06-27,11,50499.9
250,7,2020-10-12,5,6502.45
80,1,2021-02-04,20,91818
2851,3,2020-08-20,20,40990
1153,16,2021-07-10,15,75
954,11,2021-02-10,8,399.2
570,18,2021-01-28,20,158
1405,21,2020-10-26,13,77988.3
1700,9,2021-02-23,20,7782
